"","tmin.mean","tmin.sd","tmin.01","tmin.025","tmin.05","tmin.50","tmin.95","tmin.975","tmin.99","tseas.mean","tseas.sd","tseas.01","tseas.025","tseas.05","tseas.50","tseas.95","tseas.975","tseas.99","pmin.mean","pmin.sd","pmin.01","pmin.025","pmin.05","pmin.50","pmin.95","pmin.975","pmin.99","pseas.mean","pseas.sd","pseas.01","pseas.025","pseas.05","pseas.50","pseas.95","pseas.975","pseas.99","gbif.records"
"Alangium villosum",99.612641815235,39.6723680661618,21.48,32.8,45.4,98,179.4,223,225,3114.11345218801,951.181635304989,281,453,608,3390,4155,4217,4376.68,41.3598055105348,23.3164329201093,7.16,8.4,16,35,100,105,112.68,61.614262560778,19.945306485351,23,27,36,61,91.1999999999999,96,99,620
"Albizia procera",166.471471471471,35.2867333588915,95,95,102,165,218,222,223,1950.48048048048,1003.15101315312,377,407,515,2185,3415,3584.8,4281,36.2612612612613,42.2268782625713,0.32,1,1,25,123,148.3,193,78.1321321321321,29.237302165388,12.32,14.3,17,86,119,124,126,349
"Alectryon excelsus",41.8837209302326,22.3268035610474,9,9.1,11,36,86.1,95.55,96,3284.93023255814,285.902530456401,2677,2682.75,2811.8,3206,3718.1,3724.95,3725,74.7441860465116,17.9948312992474,51.68,54,54.1,70,97.7,117.95,129.44,21.2558139534884,5.13667032812119,11,11.1,13.1,21,29.9,30,30,49
"Alepis flavida",-8.61538461538461,14.7847808096618,-27.88,-27.7,-27.4,-9,13,20.5,25,3603.76923076923,299.824157867617,3155.8,3185.5,3235,3605,4112.4,4129.2,4139.28,110.384615384615,36.5388798896428,69.24,69.6,70.2,111,168.6,171.3,172.92,12.5384615384615,2.47033683989939,9,9,9,12,16.4,16.7,16.88,13
"Allophylus cobbe",188.778968519759,36.5836006830341,82,101,113,200,228,230,233,985.621902210315,786.933898225733,189,205,229,778.5,2551.25,2791,3344,80.1498829039813,69.1726611145546,0,1,2,68,208,224,247,52.8066242890599,29.7657871493123,11,13,14.4,51,104.6,109,123,3180
"Alstonia boonei",199.247689463956,16.9572889174336,144,147,171,203,220,220,222,936.39741219963,208.081063069434,479.8,510,557,951,1264,1287,1317,24.8872458410351,15.3880739051927,2,4,5,22,52,75,76,62.5194085027726,14.3978551778922,29,29,40,61,93,93,94,548
"Alstonia scholaris",146.073113207547,46.9426674483296,55,64,89,138,223,225,225,2458.80896226415,1472.39515677595,235,339.6,376,2678,5210,5267,5502,43.7806603773585,37.0012651184612,1,3,6,33,118,153,159.62,71.9198113207547,22.9659668847731,22,23,27,77,105,110,115.31,441
"Amelanchier alnifolia",-86.5382895472331,79.6123248919497,-326.12,-285.3,-240,-77,18,26,39.2399999999998,7287.21185019564,2544.15187305963,2736.48,3514,4030.2,6870,12840.4,14231.2,15204.08,20.0721073225266,16.533196525029,2,2,4,15,54,62.3,79,50.42370039128,21.0004106051182,12,13,17,53,79,84,90,1802
"Anacardium excelsum",194.07027027027,22.9510007677469,111.38,124,152,196,223,224,227,615.748648648649,181.878168999478,231.76,237.35,270.35,684,812,851,908.18,38.4621621621622,41.0619853428793,1,2,2,27.5,105,122.425,204.27,62.7378378378378,16.9393602255717,25,29.45,35.45,62,90.55,93,101.93,371
"Anagyris foetida",50.8090452261307,20.0358298348672,-2.15,9,17.55,51,79,85.075,91.03,5454.64824120603,539.560714955086,4483,4751.325,4791.8,5296,6603,6726,6797.49,7.64070351758794,6.38315253457372,0,0,1,7,17,18,26,54.2638190954774,16.1810676288528,29.85,31.925,35,51.5,85.3,91.075,100,410
"Andromeda polifolia",-124.784874398717,80.0234224998795,-351,-331,-314.7,-112,-27,-8,2,7996.85783003741,2507.35482921861,4112.46,4555.2,4899,7641,13878,14691,15220,42.2434526990914,23.1435048393705,5,6,9,36,89,98,109,32.0537145911277,13.3268114566046,8,13,17,29,63,67,72,3771
"Antiaris toxicaria",184.80353200883,30.1955834822511,101,103,125,191,221,221,223,1235.81456953642,786.248700244914,222,284,343,1089,2288.6,3257,4843.32,34.0927152317881,47.4990942149377,0,0,1,16,133,192,216,73.6026490066225,29.4526948156751,13,20.3,26,73,113,114,123,486
"Apeiba membranacea",190.842964824121,22.1815655402209,128.95,150.875,155.75,193,223,227.125,229,596.643216080402,257.858248498473,223.25,260,281,508.5,1069,1172,1442,122.550251256281,81.0657392207614,10,18,24,111,245,301.375,429.35,36.9082914572864,16.3201578977279,12,14,15,38,62,65.25,75,799
"Apeiba tibourbou",186.453544390915,28.8674432498622,104.52,118,134.6,192,223,224,227,783.656572608396,412.241363637559,252,279.6,328,687,1636,1972.7,2182,43.7522367515485,53.3471065542171,0.52,1,2,28,168,198.4,245.64,60.6111493461803,18.1628935484616,17,19,22,61,91,93.7,100,1460
"Aphananthe aspera",20.2682352941176,46.0189004745648,-42.52,-37.2,-32,7,116,124,125,6851.67764705882,1649.43498533392,2919,2959,3229,7399,8483,8960,9082,44.7882352941176,18.9485986175007,11,11,15,46,69.8,79.9999999999999,118,53.0964705882353,16.074490859178,23.92,34.6,35,48,85,90,94,448
"Apuleia leiocarpa",158.836956521739,35.9485955884501,75.29,88.075,99,162,218,222,223,1305.37111801242,684.903056225744,314.76,378.425,448.3,1177,2768.85,3303.55,3524,32.6568322981366,30.8143278245903,1,1,2,26,104,119.85,130,60.1459627329193,19.2345868291197,9,10.075,17,61,87,89,98.1400000000001,645
"Aralidium pinnatifidum",200.246153846154,29.0559969978396,120.24,126,140,211,226,226.8,228,438.707692307692,190.66902959357,236,256.4,271,333,738.8,742.6,858.16,111.584615384615,47.3342147353834,23.08,31,31,124,162,182,182,34.5076923076923,12.5947944069701,22,23.2,24,28,64,65,65,66
"Arbutus andrachne",40.7142857142857,40.7630347251036,-70.48,-53.6,-29.6,52,86.2,90.2,91,6102.10204081633,951.14488567064,4778,4821.4,4995,5934,7490.8,8069.6,8742.24,8.40816326530612,12.401139677712,0,0,0,3,35,37.4,44.7599999999999,76.5714285714286,30.5545959445275,14.96,16.2,20.2,85,111,111.8,112,50
"Aristotelia serrata",22.7428571428571,22.5131894115203,-10.66,-10.15,-8.6,15,70.9,73.3,74.32,3419.11428571429,314.116011861164,2926,2926,2951.2,3435,3943,3971.8,4069.72,136.171428571429,78.9141326768181,58.02,59.55,62.8,109,319.9,350,350,16.0285714285714,2.73845935954243,11.02,12.55,13,16,21,21.15,21.66,36
"Ascarina lucida",50.0888888888889,43.5163617203201,8,8,8.6,36,163.6,182.3,187.92,3045.6,589.387332127801,858.48,1446.2,1872,3135,3553,3824.4,3859.6,138.444444444444,50.7312686236173,64.88,66.7,73.8,129,242.4,280.4,284.56,18.9777777777778,7.07263898571263,10.44,11,11,16,34.8,36.9,40.36,50
"Aspidosperma quebracho-blanco",91.9213483146067,40.4414132203181,10.16,12.85,17,106,145.15,149.45,163.53,3528.99438202247,1025.85817180974,1604.85,1655.65,1725,3519,5021.4,5839.625,5880,20.376404494382,19.1694467498208,0.77,1.425,2,11,55,63.15,65.69,60.4887640449438,22.5429254725128,22.77,23,23,63,97.15,105.15,110.92,178
"Aucuba japonica",0.0890756302521008,50.5688895556838,-90.24,-79,-61,-11,97.1999999999998,107,118.679999999998,6876.1025210084,1828.48946173993,2475,2475,2654.7,7646,8720.1,9022,9094.32,72.0453781512605,41.8035685246746,5,30,32,57,176,176,188,43.890756302521,15.0282505663038,11,14,20,43,83,83,91,604
"Avicennia marina",133.811667723526,51.698443906529,47,54,57,134,221,223,226,2898.81483830057,1173.41174813789,287,557,866,3194,4376,4945,4945,26.3081800887762,30.387579119923,0,0,0,15,75,102,152,72.3176918199112,34.6190456625787,15,17,21,81,120,125,129.24,1811
"Baikiaea plurijuga",66.646017699115,13.7307790032248,40.36,44.6,45,64,88,88.8,92,3168.11504424779,556.997832007393,1952,1977.6,1984,3371,3736.4,3744,3794.16,0,0,0,0,0,0,0,0,0,107.920353982301,5.49373278141354,98.12,99,99,109,115,116.4,118,113
"Beilschmiedia tawa",46.4897959183673,17.9224282778353,8.92,12.4,19.2,45,70.2,71.8,75.12,3272.89795918367,179.21033323281,2943.28,2957.2,2999.6,3316,3517.6,3600.4,3668.32,92.5918367346939,23.7687806160263,54.96,56.6,59,92,129.6,135.6,141.68,19.3061224489796,3.36157255879257,12.48,13,13.4,19,25,25.8,26.52,50
"Bertholletia excelsa",188.130293159609,32.754922210238,143,147,150,185,224,227,227,681.85993485342,734.873834214464,277.54,289,334.3,573,1055.6,1069,1366.82,52.4657980456026,43.5488003211347,3,3,7,39,156.1,173,177.94,53.8241042345277,15.0113793033954,18,19,21,56,74.7,76.35,80,309
"Betula nana",-122.978054727716,72.742380974362,-359,-331,-285,-112,-39,-32,-18.7000000000003,7654.51693308047,2287.78630768224,3900.7,4243.25,4546,7350,12584,14393.5,15020.9,40.0414521809808,21.1030165057339,4,6,9,34,82,93,105.1,31.381468436738,12.667531982008,15,18,20,28,63,68,75,3707
"Betula pendula",-77.0575101488498,68.1641152430012,-323.35,-279,-228.25,-64,5,19,39,7331.67050067659,1934.83499517859,3950,4583.375,4943,6851,11477,13844,14615.9,35.6623815967524,15.58352916804,5,7,12,32,64,77,90.8999999999996,30.3376184032476,12.1523751702579,11,13,17,28,59,66,75.4499999999998,2972
"Betula pubescens",-78.7388654477262,52.8625706026218,-212,-196,-171,-70,8.5,28,48,6387.10407876231,1540.3799080572,3586.45,3730.375,4060,6283.5,9194.5,9651,9995.7,46.235349273324,18.8182253663554,16,20,22,45,85,95,102,27.095874355368,7.3234081232004,12,15,18,25,42,45,47.3500000000004,4319
"Betula utilis",-88.5066162570889,75.2815451202198,-258,-221,-208.4,-78,24,38.3999999999999,51,6464.14555765595,1908.04890320726,4226,4332,4471,5824,9835,9941,10061.08,7.66918714555766,8.3426963783146,0,1,2,6,21,24,35.4400000000001,76.82797731569,21.3105352527115,35.84,40,43,82,106,115,118.44,529
"Billia hippocastanum",112.808695652174,35.824595993651,38.94,57,57,117,181,181,199.06,818.313043478261,378.983343734755,434.14,471.55,511,623,1605.7,1655.15,1657.72,62.7217391304348,44.4446329769711,7.14,13.95,16.7,52,180.2,183,183,54.5130434782609,15.4949710106505,23,23,25.8,53,83,83,85.58,115
"Bischofia javanica",155.701276595745,51.9290249812848,19,41,58,166,224,230,232.26,1774.66893617021,1692.41931410828,200.54,256,277.7,880,5218,5614,6393.12,70.6621276595745,61.9301198808017,4,6,8,59,195,234,287,55.9182978723404,24.177300739238,11.74,16,20,55,91,99.9499999999996,106,1240
"Bocoa prouacensis",212.536585365854,6.97295502470605,194,194,194.15,214,220.95,221,221.19,482.09756097561,95.1161226296635,391,391.275,402,446,679,733.125,734.19,61.5853658536585,15.7526805240143,42,46,46.1,54,99,100,100,49.3170731707317,4.80965605089525,37,37,40,51,55,55,55.38,82
"Brosimum alicastrum",177.322489391796,23.5228317879437,107.06,131.65,142.6,176,212,220,223,1014.21357850071,564.646738004282,290,345,430,771,2080.8,2230,2685.92,37.3352192362093,40.5127118343294,1,1,1,28,107.2,162.35,170.94,65.8288543140028,21.9861626381777,17,22.6,32,61,105,105,113,714
"Brosimum guianense",187.716417910448,29.1178035815761,98,112,130,193,221.75,225,225,770.186567164179,473.315941978973,257,287.25,324.25,639.5,1895,2123,2326,79.3432835820896,67.7641619416117,2,8,10,62,193.75,206.875,308,46.5049751243781,18.6715100201059,14,14,17,49,73,77.875,85,1222
"Brosimum lactescens",183.157338965153,29.3247753397253,86.76,111,125.5,191,218,223,225.54,802.352692713833,498.212250251719,294.76,358.65,392,703,1682,2742.25,2984,84.2375923970433,65.3985467517568,2,3,8,69,193,197.7,203,46.0369588173178,19.4983521405266,14.46,16,17,50,76,79,87.1599999999999,948
"Brosimum rubescens",201.62472406181,18.3496161790118,148,153.6,167,206,225,225,226.96,586.494481236203,261.354196463915,303.84,345,373,464,1078.2,1220,1515.4,96.1434878587197,53.5844316251156,3.52,7,21,81,197,197,230.160000000001,38.0883002207506,17.1870544506157,10,14,14,40,71,73,80,455
"Brosimum utile",195.274888558692,28.0457785215869,115.76,134,137,202,225,225,229,493.011887072808,199.960873795259,203,219.4,244,452,831.799999999999,979.8,1098.88,121.329866270431,97.5185328058574,8,8,12,92,304,439,456.68,39.109955423477,17.5972579412698,14,15,16,36,70,73,80,674
"Broussonetia papyrifera",48.4485861182519,72.6683058932575,-78.69,-68.725,-60.3,41,178,207,221.23,5585.41002570694,2469.37839921495,370,429.2,567,5326,9173.2,9299.325,9533,37.7282051282051,33.5854509481101,2,2,4,31,104,119.05,147.63,60.325641025641,25.1992645933479,11,12,16.95,61.5,100,105,106,793
"Bulnesia arborea",193.829268292683,26.5517442355718,121.2,153,156,205,223,223,225.4,1058.75609756098,1022.37358094993,247,253,370,591,3088,3097,3097,18.6829268292683,14.7892512055044,0,0,2,12,44,44,52.4,62.9024390243902,16.153644910745,35.6,47,50,61,87,113,113,43
"Buxus sempervirens",0.970507544581619,26.7856297307281,-71,-55,-45.15,1,45,62.7250000000001,64,5746.05281207133,781.440215578903,3903.28,4310.05,4653.8,5753,6825.15,7403,8545.88,34.1104252400549,19.2480328445426,4,6,10,29,67,71,85,27.3923182441701,10.4361836221856,11,12,15,26,49,57,67,1462
