"","order","family","genus","n1","n0","N","K","mean","lower","upper","p_mean","p_lower","p_upper"
"7789","Gentianales","Apocynaceae","Dactylostelma",0,0,1,0,0.428,0,1,0.428,0,1
"7790","Gentianales","Apocynaceae","Dalzielia",0,0,1,0,0.416,0,1,0.416,0,1
"7791","Gentianales","Rubiaceae","Damnacanthus",0,0,13,0,6.348,0,13,0.488307692307692,0,1
"7792","Gentianales","Rubiaceae","Danais",27,0,31,27,31,31,31,1,1,1
"7793","Gentianales","Apocynaceae","Decalepis",1,0,4,1,4,4,4,1,1,1
"7794","Gentianales","Apocynaceae","Decanema",0,0,2,0,0.906,0,2,0.453,0,1
"7795","Gentianales","Apocynaceae","Decastelma",0,0,2,0,0.834,0,2,0.417,0,1
"7796","Gentianales","Rubiaceae","Deccania",0,0,1,0,0.436,0,1,0.436,0,1
"7797","Gentianales","Rubiaceae","Declieuxia",0,2,29,2,0,0,0,0,0,0
"7798","Gentianales","Gentianaceae","Deianira",0,3,7,3,0,0,0,0,0,0
"7799","Gentianales","Rubiaceae","Dendrosipanea",0,0,2,0,0.816,0,2,0.408,0,1
"7800","Gentianales","Rubiaceae","Denscantia",2,0,4,2,4,4,4,1,1,1
"7801","Gentianales","Rubiaceae","Dentella",1,2,8,3,3,3,3,0.375,0.375,0.375
"7802","Gentianales","Rubiaceae","Deppea",0,0,35,0,16.126,0,35,0.460742857142857,0,1
"7803","Gentianales","Apocynaceae","Desmidorchis",0,0,1,0,0.424,0,1,0.424,0,1
"7804","Gentianales","Apocynaceae","Dewevrella",0,0,1,0,0.45,0,1,0.45,0,1
"7805","Gentianales","Rubiaceae","Diacrodon",0,0,1,0,0.446,0,1,0.446,0,1
"7806","Gentianales","Rubiaceae","Dialypetalanthus",0,1,1,1,0,0,0,0,0,0
"7807","Gentianales","Rubiaceae","Dibrachionostylus",0,0,1,0,0.4,0,1,0.4,0,1
"7808","Gentianales","Rubiaceae","Dichilanthe",0,0,2,0,0.884,0,2,0.442,0,1
"7809","Gentianales","Rubiaceae","Dictyandra",0,1,2,1,0,0,0,0,0,0
"7810","Gentianales","Apocynaceae","Dictyanthus",0,0,17,0,8.116,0,17,0.477411764705882,0,1
"7811","Gentianales","Apocynaceae","Dictyophleba",4,0,6,4,6,6,6,1,1,1
"7812","Gentianales","Rubiaceae","Didymaea",1,0,8,1,8,8,8,1,1,1
"7813","Gentianales","Rubiaceae","Didymochlamys",0,1,2,1,0,0,0,0,0,0
"7814","Gentianales","Rubiaceae","Didymopogon",0,0,1,0,0.422,0,1,0.422,0,1
"7815","Gentianales","Rubiaceae","Didymosalpinx",1,0,4,1,4,4,4,1,1,1
"7816","Gentianales","Rubiaceae","Diodella",1,2,12,3,3,3,3,0.25,0.25,0.25
"7817","Gentianales","Rubiaceae","Diodia",0,1,22,1,0,0,0,0,0,0
"7818","Gentianales","Rubiaceae","Dioecrescis",0,0,1,0,0.42,0,1,0.42,0,1
"7819","Gentianales","Rubiaceae","Dioicodendron",0,0,1,0,0.458,0,1,0.458,0,1
"7820","Gentianales","Apocynaceae","Diplolepis",0,0,6,0,2.534,0,6,0.422333333333333,0,1
"7821","Gentianales","Apocynaceae","Diplorhynchus",0,1,1,1,0,0,0,0,0,0
"7822","Gentianales","Rubiaceae","Diplospora",0,1,23,1,0,0,0,0,0,0
"7823","Gentianales","Apocynaceae","Diplostigma",0,0,1,0,0.424,0,1,0.424,0,1
"7824","Gentianales","Rubiaceae","Dirichletia",0,0,5,0,2.226,0,5,0.4452,0,1
"7825","Gentianales","Apocynaceae","Dischidanthus",0,0,1,0,0.462,0,1,0.462,0,1
"7826","Gentianales","Apocynaceae","Dischidia",3,0,116,3,116,116,116,1,1,1
"7827","Gentianales","Apocynaceae","Dischidiopsis",0,0,8,0,3.496,0,8,0.437,0,1
"7828","Gentianales","Rubiaceae","Discospermum",0,0,7,0,3.35,0,7,0.478571428571429,0,1
"7829","Gentianales","Apocynaceae","Ditassa",46,0,118,46,118,118,118,1,1,1
"7830","Gentianales","Apocynaceae","Dittoceras",0,0,4,0,1.748,0,4,0.437,0,1
"7831","Gentianales","Rubiaceae","Diyaminauclea",0,0,1,0,0.446,0,1,0.446,0,1
"7832","Gentianales","Gentianaceae","Djaloniella",0,0,1,0,0.438,0,1,0.438,0,1
"7833","Gentianales","Rubiaceae","Dolianthus",0,0,13,0,5.848,0,13,0.449846153846154,0,1
"7834","Gentianales","Rubiaceae","Dolichodelphys",0,0,1,0,0.446,0,1,0.446,0,1
"7835","Gentianales","Rubiaceae","Dolicholobium",0,0,28,0,12.42,0,28,0.443571428571429,0,1
"7836","Gentianales","Rubiaceae","Dolichometra",0,0,1,0,0.436,0,1,0.436,0,1
"7837","Gentianales","Rubiaceae","Dolichopentas",0,1,4,1,0,0,0,0,0,0
"7838","Gentianales","Apocynaceae","Dolichopetalum",1,0,1,1,1,1,1,1,1,1
"7839","Gentianales","Rubiaceae","Donnellyanthus",0,0,1,0,0.414,0,1,0.414,0,1
"7840","Gentianales","Apocynaceae","Dregea",7,0,12,7,12,12,12,1,1,1
"7841","Gentianales","Rubiaceae","Duidania",0,0,1,0,0.432,0,1,0.432,0,1
"7842","Gentianales","Rubiaceae","Dunnia",0,0,1,0,0.406,0,1,0.406,0,1
"7843","Gentianales","Rubiaceae","Duperrea",0,0,1,0,0.454,0,1,0.454,0,1
"7844","Gentianales","Gentianaceae","Duplipetala",0,0,2,0,0.9,0,2,0.45,0,1
"7845","Gentianales","Rubiaceae","Duroia",0,4,38,4,0,0,0,0,0,0
"7846","Gentianales","Rubiaceae","Durringtonia",0,1,1,1,0,0,0,0,0,0
"7847","Gentianales","Apocynaceae","Duvalia",0,0,19,0,7.824,0,19,0.411789473684211,0,1
"7848","Gentianales","Apocynaceae","Duvaliandra",0,0,1,0,0.442,0,1,0.442,0,1
"7849","Gentianales","Apocynaceae","Dyera",0,2,2,2,0,0,0,0,0,0
"7850","Gentianales","Apocynaceae","Echidnopsis",0,0,34,0,14.426,0,34,0.424294117647059,0,1
"7851","Gentianales","Apocynaceae","Echites",2,0,12,2,12,12,12,1,1,1
"7852","Gentianales","Apocynaceae","Ecliptostelma",0,0,1,0,0.428,0,1,0.428,0,1
"7853","Gentianales","Apocynaceae","Ectadium",0,0,3,0,1.396,0,3,0.465333333333333,0,1
"7854","Gentianales","Apocynaceae","Ecua",0,0,1,0,0.432,0,1,0.432,0,1
"7855","Gentianales","Apocynaceae","Edithcolea",0,0,1,0,0.444,0,1,0.444,0,1
"7856","Gentianales","Rubiaceae","Edithea",0,0,3,0,1.294,0,3,0.431333333333333,0,1
"7857","Gentianales","Rubiaceae","Eizia",0,0,1,0,0.43,0,1,0.43,0,1
"7858","Gentianales","Rubiaceae","Elaeagia",0,0,25,0,11.178,0,25,0.44712,0,1
"7859","Gentianales","Apocynaceae","Elytropus",0,0,1,0,0.412,0,1,0.412,0,1
