gs,growthForm,vesselSize,vesselNumber,Tree,Shrub,Liana,GF3,GF2
Arrabidaea patellifera,C,0.002733971,25,0,0,1,Liana,Liana
Arrabidaea triplinervia,NA,0.015174678,28,0,0,1,Liana,Liana
Artemisia monosperma,NA,0.001590431,120,NA,NA,NA,NA,NA
Arthrocnemum macrostachyum,NA,0.000706858,160,NA,NA,NA,NA,NA
Arthrocnemum perenne,NA,0.000706858,90,NA,NA,NA,NA,NA
Arytera littoralis,NA,0.007697687,20,NA,NA,NA,NA,NA
Asarum hartwegii,NA,0.001134115,504,NA,NA,NA,NA,NA
Ascarina lucida,S,0.001661903,74,NA,NA,NA,NA,NA
Aspidosperma polyneuron,NA,0.002375829,65,1,0,0,Tree,Arbor
Aspidosperma quebracho-blanco,T,0.020106193,15,1,0,0,Tree,Arbor
Astronium urundeuva,NA,0.009503318,15,1,0,0,Tree,Arbor
Atriplex halimus,S,0.002642079,50,NA,NA,NA,NA,NA
Aucoumea klaineana,NA,0.020106193,10,NA,NA,NA,NA,NA
Aucuba chinensis,T,0.000754768,71,NA,NA,NA,NA,NA
Aucuba himalaica,S,0.001017876,41,NA,NA,NA,NA,NA
Aucuba japonica,S,0.00066052,92,NA,NA,NA,NA,NA
Autranella congolensis,NA,0.012271846,13,NA,NA,NA,NA,NA
Avicennia marina,S_T,0.003117245,50,NA,NA,NA,NA,NA
Bagassa guianensis,NA,0.045238934,3,NA,NA,NA,NA,NA
Baikiaea plurijuga,T,0.003848451,24,NA,NA,NA,NA,NA
Baillonella toxisperma,T,0.013273229,13,NA,NA,NA,NA,NA
Balanites aegyptiaca,NA,0.009120436,9,NA,NA,NA,NA,NA
Balfourodendron riedelianum,NA,0.005554336,38,1,0,0,Tree,Arbor
Balthasaria schliebenii,NA,0.004778362,30,NA,NA,NA,NA,NA
Barleria her,NA,0.000706858,170,NA,NA,NA,NA,NA
Bassia arabica,NA,0.000490874,110,NA,NA,NA,NA,NA
Bastardiopsis densiflora,NA,0.009503318,13,1,0,0,Tree,Arbor
Bauhinia rufescens,NA,0.004417865,30,NA,NA,NA,NA,NA
Beilschmiedia brasiliensis,NA,0.012667687,8,NA,NA,NA,NA,NA
Beilschmiedia emarginata,NA,0.015836769,4,NA,NA,NA,NA,NA
Beilschmiedia rigida,NA,0.022431757,4,1,0,0,Tree,Arbor
Beilschmiedia tarairi,T,0.008494867,5,NA,NA,NA,NA,NA
Beilschmiedia taubertiana,NA,0.010568318,11,NA,NA,NA,NA,NA
Beilschmiedia tawa,T,0.005674502,11,NA,NA,NA,NA,NA
Berchemia racemosa,NA,0.011309734,36,NA,NA,NA,NA,NA
Berchemiella berchemiifolia,NA,0.023506182,13,NA,NA,NA,NA,NA
Bertholletia excelsa,T,0.028352874,3,1,0,0,Tree,Arbor
Betula alnoides,NA,0.007542964,21,NA,NA,NA,NA,NA
Betula nana,S,0.000116899,844,NA,NA,NA,NA,NA
Betula pendula,S_T,0.000774795,393,NA,NA,NA,NA,NA
Betula pubescens,S_T,0.000489543,293.2,NA,NA,NA,NA,NA
Betula tortuosa,T,0.000246057,549,NA,NA,NA,NA,NA
Betula utilis,T,0.003525652,22,NA,NA,NA,NA,NA
Bhesa sinica,NA,0.006361725,22,NA,NA,NA,NA,NA
Billia columbiana,NA,0.007853982,10,1,0,0,Tree,Arbor
Billia hippocastanum,T,0.007853982,10,1,0,0,Tree,Arbor
Bischofia javanica,T,0.017671459,4,NA,NA,NA,NA,NA
Bixa arborea,T,0.013273229,6,1,0,0,Tree,Arbor
Bocconia arborea,NA,0.013273229,19,0,1,0,Shrub,Arbor
Bocconia frutescens,T,0.013069811,9,1,1,0,2,Arbor
Bocconia integrifolia,NA,0.013684778,11,1,1,0,2,Arbor
Bocconia vulcanica,NA,0.018662631,9,0,1,0,Shrub,Arbor
Bocoa alterna,NA,0.003117245,19,1,1,0,2,Arbor
Bocoa prouacensis,T,0.018385386,3,NA,NA,NA,NA,NA
Bocoa viridiflora,NA,0.013684778,4,1,0,0,Tree,Arbor
Bombacopsis quinata,T,0.053502108,4,1,0,0,Tree,Arbor
Bombax brevicuspe,NA,0.068349275,3,NA,NA,NA,NA,NA
Boniodendron minus,NA,0.001520531,26,NA,NA,NA,NA,NA
Bourreria purpusii,NA,0.000706858,79,NA,NA,NA,NA,NA
Brassaiopsis aculeata,NA,0.006361725,14,NA,NA,NA,NA,NA
Brassaiopsis alpina,NA,0.002642079,82,NA,NA,NA,NA,NA
Brassaiopsis hainla,NA,0.013273229,20,NA,NA,NA,NA,NA
Brassaiopsis mitis,NA,0.003318307,40,NA,NA,NA,NA,NA
Bravaisia tubiflora,NA,0.011309734,10,0,1,0,Shrub,Arbor
Breonia chinensis,NA,0.014313882,8,NA,NA,NA,NA,NA
Breviea leptosperma,NA,0.004185387,20,NA,NA,NA,NA,NA
Brosimum acutifolium,T,0.020106193,7,1,0,0,Tree,Arbor
Brosimum alicastrum,T,0.00638136,14.5,1,0,0,Tree,Arbor
Brosimum costaricanum,NA,0.011309734,11,1,0,0,Tree,Arbor
Brosimum gaudichaudii,NA,0.009503318,17,0,1,0,Shrub,Arbor
Brosimum glaziovii,NA,0.004417865,11,NA,NA,NA,NA,NA
Brosimum guianense,T,0.00867865,8.5,1,1,0,2,Arbor
Brosimum lactescens,T,0.010935884,12,1,0,0,Tree,Arbor
Brosimum parinarioides,T,0.018869191,5,1,0,0,Tree,Arbor
Brosimum potabile,NA,0.018869191,3,1,0,0,Tree,Arbor
Brosimum rubescens,T,0.019487692,5,1,0,0,Tree,Arbor
Brosimum utile,T,0.028809975,5,1,0,0,Tree,Arbor
Broussonetia greveana,NA,0.026880252,8,NA,NA,NA,NA,NA
Broussonetia kaempferi,NA,0.01960668,9,NA,NA,NA,NA,NA
Broussonetia kazinoki,NA,0.006361725,14,NA,NA,NA,NA,NA
Broussonetia kurzii,NA,0.011309734,16,NA,NA,NA,NA,NA
Broussonetia luzonica,NA,0.026880252,6,NA,NA,NA,NA,NA
Broussonetia papyrifera,T,0.022715286,7,NA,NA,NA,NA,NA
Bruinsmia styracoides,NA,0.01960668,7,NA,NA,NA,NA,NA
Bulnesia arborea,T,0.002827433,75,1,0,0,Tree,Arbor
Buxus macowanii,T,0.000706858,200,NA,NA,NA,NA,NA
Buxus sempervirens,S,0.000706858,250,1,1,0,2,Arbor
Cabralea canjerana,T,0.031415927,9,1,0,0,Tree,Arbor
Caesalpinia echinata,NA,0.008992024,23,NA,NA,NA,NA,NA
Caesalpinia paraguariensis,T,0.003848451,25,1,0,0,Tree,Arbor
Calamus brandisii,NA,0.032047387,12,NA,NA,NA,NA,NA
Calamus dransfieldii,NA,0.066051986,3,NA,NA,NA,NA,NA
Calamus gamblei,NA,0.067886676,6,NA,NA,NA,NA,NA
Calamus hookerianus,NA,0.047143525,11,NA,NA,NA,NA,NA
Calamus karnatakensis,NA,0.067425647,5,NA,NA,NA,NA,NA
Calamus lacciferus,NA,0.070215381,5,NA,NA,NA,NA,NA
Calamus lakshmanae,NA,0.03268513,15,NA,NA,NA,NA,NA
Calamus metzianus,NA,0.061575216,11,NA,NA,NA,NA,NA
Calamus nagbettai,NA,0.115209271,3,NA,NA,NA,NA,NA
Calamus pseudotenuis,NA,0.031415927,15,NA,NA,NA,NA,NA
Calamus rotang,NA,0.038013271,14,NA,NA,NA,NA,NA
Calamus stoloniferus,NA,0.023235219,5,NA,NA,NA,NA,NA
Calamus thwaitesii,NA,0.097313974,3,NA,NA,NA,NA,NA
Calamus travancoricus,NA,0.013273229,20,NA,NA,NA,NA,NA
Calamus vattayila,NA,0.045238934,6,NA,NA,NA,NA,NA
Caldcluvia rosifolia,NA,0.001385442,105,NA,NA,NA,NA,NA
Calicotome villosa,S,0.001590431,150,NA,NA,NA,NA,NA
Calliandra fragrans,NA,0.006082123,76,NA,NA,NA,NA,NA
Calliandra hainanensis,NA,0.002596723,105,NA,NA,NA,NA,NA
Calliandra pubiflora,NA,0.00453646,101,NA,NA,NA,NA,NA
Callichlamys latifolia,C,0.018869191,8,0,0,1,Liana,Liana
Calligonum comosum,S,0.009503318,35,NA,NA,NA,NA,NA
Calophyllum brasiliense,T,0.024052819,7,1,0,0,Tree,Arbor
Calophyllum papuanum,NA,0.024331635,5.5,NA,NA,NA,NA,NA
Calophyllum pauciflorum,NA,0.014526724,6.9,NA,NA,NA,NA,NA
Calotropis procera,NA,0.007853982,25,0,1,0,Shrub,Arbor
Calycophyllum multiflorum,NA,0.001963495,120,1,0,0,Tree,Arbor
Camellia acutissima,NA,0.000962113,158,NA,NA,NA,NA,NA
Camellia brevistyla,NA,0.001256637,190,NA,NA,NA,NA,NA
Camellia caudata,NA,0.001256637,138,NA,NA,NA,NA,NA
Camellia chekiangoleosa,NA,0.001256637,124,NA,NA,NA,NA,NA
Camellia chrysantha,NA,0.001256637,150,NA,NA,NA,NA,NA
Camellia cordifolia,NA,0.000962113,142,NA,NA,NA,NA,NA
Camellia cuspidata,S,0.000962113,214,NA,NA,NA,NA,NA
Camellia dehungensis,NA,0.000962113,211,NA,NA,NA,NA,NA
Camellia euphlebia,NA,0.001256637,167,NA,NA,NA,NA,NA
Camellia furfuracea,NA,0.000962113,201.5,NA,NA,NA,NA,NA
Camellia gigantocarpa,T,0.001590431,165,NA,NA,NA,NA,NA
Camellia grijsii,NA,0.000962113,175,NA,NA,NA,NA,NA
Camellia impressinervis,NA,0.000706858,186,NA,NA,NA,NA,NA
Camellia irrawadiensis,NA,0.000706858,242,NA,NA,NA,NA,NA
Camellia japonica,T,0.000706858,373,0,1,0,Shrub,Arbor
Camellia kissi,NA,0.000807389,137,NA,NA,NA,NA,NA
Camellia lapidea,NA,0.001256637,117,NA,NA,NA,NA,NA
Camellia longgangensis,NA,0.000834486,168.5,NA,NA,NA,NA,NA
Camellia longzhouensis,NA,0.000706858,176,NA,NA,NA,NA,NA
Camellia lungyaiensis,NA,0.000962113,147,NA,NA,NA,NA,NA
Camellia microphylla,NA,0.000962113,280,NA,NA,NA,NA,NA
Camellia multiperulata,NA,0.000962113,220,NA,NA,NA,NA,NA
Camellia oleifera,S,0.001017876,167,NA,NA,NA,NA,NA
Camellia pitardii,NA,0.001256637,170,NA,NA,NA,NA,NA
Camellia polyodonta,NA,0.000962113,204,NA,NA,NA,NA,NA
Camellia pubipetala,NA,0.000962113,224,NA,NA,NA,NA,NA
Camellia reticulata,T,0.000706858,187,NA,NA,NA,NA,NA
Camellia rosthorniana,NA,0.000706858,166,NA,NA,NA,NA,NA
Camellia saluenensis,NA,0.000962113,252,NA,NA,NA,NA,NA
Camellia semiserrata,NA,0.000962113,218,NA,NA,NA,NA,NA
Camellia sinensis,NA,0.001134115,203.5,1,0,0,Tree,Arbor
Camellia subacutissima,NA,0.000962113,192,NA,NA,NA,NA,NA
Camellia taliensis,NA,0.000962113,117,NA,NA,NA,NA,NA
Camellia terminalis,NA,0.000706858,160,NA,NA,NA,NA,NA
Camellia vietnamensis,NA,0.001452201,173,NA,NA,NA,NA,NA
Camellia villosa,NA,0.000706858,259,NA,NA,NA,NA,NA
Camellia wumingensis,NA,0.000706858,187,NA,NA,NA,NA,NA
Campsis chinensis,NA,0.011689866,16,NA,NA,NA,NA,NA
Camptotheca acuminata,NA,0.002290221,72,NA,NA,NA,NA,NA
Canarium schweinfurtii,NA,0.038013271,4,NA,NA,NA,NA,NA
Candolleodendron brachystachyum,NA,0.002463009,61,NA,NA,NA,NA,NA
Canella alba,T,0.004417865,19,NA,NA,NA,NA,NA
Canthium ciliatum,NA,0.00066052,123,NA,NA,NA,NA,NA
Canthium inerme,NA,0.001320254,138,NA,NA,NA,NA,NA
Canthium lactescens,NA,0.000530929,204,NA,NA,NA,NA,NA
Canthium mundianum,NA,0.001885741,53,NA,NA,NA,NA,NA
Canthium parasiebenlistii,NA,0.000804248,219,NA,NA,NA,NA,NA
Canthium setiflorum,NA,0.000572555,206,NA,NA,NA,NA,NA
Canthium simile,NA,0.001963495,51,NA,NA,NA,NA,NA
Cantleya corniculata,NA,0.015393804,8,NA,NA,NA,NA,NA
Capparis cartilaginea,NA,0.004417865,40,NA,NA,NA,NA,NA
Capparis decidua,NA,0.003318307,45,NA,NA,NA,NA,NA
Capparis spinosa,S,0.003651316,65,NA,NA,NA,NA,NA
Carapa grandiflora,T,0.024052819,11,NA,NA,NA,NA,NA
Carapa guianensis,T,0.020862139,8.3,1,0,0,Tree,Arbor
Carapa procera,T,0.024052819,11,1,0,0,Tree,Arbor
Carica pentagona,NA,0.006503882,11,NA,NA,NA,NA,NA
Carica quercifolia,NA,0.003216991,21,1,0,0,Tree,Arbor
Carmona microphylla,NA,0.009503318,25,NA,NA,NA,NA,NA
Carpinus betulus,S_T,0.002720619,46.5,NA,NA,NA,NA,NA
Carpinus viminea,T,0.003117245,29,NA,NA,NA,NA,NA
Carpodetus serratus,T,0.001749741,49,NA,NA,NA,NA,NA
Caryocar glabrum,NA,0.017671459,4,1,0,0,Tree,Arbor
Casearia gossypiosperma,T,0.001385442,105,1,0,0,Tree,Arbor
Casearia obliqua,NA,0.001963495,80,NA,NA,NA,NA,NA
Cassia sieberiana,NA,0.024884555,6,NA,NA,NA,NA,NA
Cassipourea elliptica,T,0.000683493,250,1,1,0,2,Arbor
Castanopsis hystrix,T,0.014313882,3,NA,NA,NA,NA,NA
Castanopsis indica,T,0.018869191,3,NA,NA,NA,NA,NA
Castanopsis sumatrana,NA,0.022698007,6,NA,NA,NA,NA,NA
Castanospermum australe,T,0.0254469,7,NA,NA,NA,NA,NA
Casuarina cunninghamiana,T,0.007409446,38,1,0,0,Tree,Arbor
Casuarina equisetifolia,S_T,0.010207035,11,1,0,0,Tree,Arbor
Casuarina glauca,NA,0.010568318,27,NA,NA,NA,NA,NA
Catalpa bignonioides,NA,0.025086926,19,NA,NA,NA,NA,NA
Catalpa longissima,NA,0.005944679,8,NA,NA,NA,NA,NA
Catalpa speciosa,T,0.006939778,12,NA,NA,NA,NA,NA
Catophractes alexandri,NA,0.001885741,68,NA,NA,NA,NA,NA
Cavanillesia platanifolia,T,0.055154586,2,1,0,0,Tree,Arbor
Cedrela odorata,T,0.045238934,5,1,0,0,Tree,Arbor
Cedrelinga cateniformis,T,0.096211275,2,NA,NA,NA,NA,NA
Ceiba pentandra,T,0.047143525,3,1,0,0,Tree,Arbor
Cerasus dielsiana,NA,0.001385442,155,NA,NA,NA,NA,NA
Cerasus maximowiczii,NA,0.001103092,229.5,NA,NA,NA,NA,NA
Cerasus serrula,NA,0.001848042,90,NA,NA,NA,NA,NA
Cerasus serrulata,T,0.00137641,155.5,1,0,0,Tree,Arbor
Cerasus setulosa,S,0.001520531,85,NA,NA,NA,NA,NA
Cerasus vulgaris,T,0.003180768,54.28627819,NA,NA,NA,NA,NA
Ceratonia siliqua,S,0.006361725,15,1,0,0,Tree,Arbor
Cercidiphyllum japonicum,T,0.002827433,165,NA,NA,NA,NA,NA
