"","species","family","order","vesselSize","vesselNumber","growth.form.cornwell.unique","X","X.1","X.2","X.3","temperature","humidity","elevation","precip","support","source","tcoldq.me","pdryq.me","alt.me","genus","growthform_tf"
"Xanthophyllum_arnottianum","Xanthophyllum_arnottianum","Polygalaceae","Fabales",0.020106193,34,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xanthophyllum",NA
"Quillaja_brasiliensis","Quillaja_brasiliensis","Quillajaceae","Fabales",0.003019071,40,"F",NA,NA,NA,NA,NA,NA,NA,NA,"F","apg",NA,NA,NA,"Quillaja","F"
"Cassia_sieberiana","Cassia_sieberiana","Leguminosae","Fabales",0.024884555,6,"F",NA,NA,NA,NA,NA,NA,NA,NA,"F","TRY",NA,NA,NA,"Cassia","F"
"Xylia_xylocarpa","Xylia_xylocarpa","Leguminosae","Fabales",0.030171856,7,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xylia",NA
"Cereus_repandus","Cereus_repandus","Cactaceae","Caryophyllales",0.00082448,405,"F",NA,NA,NA,NA,NA,NA,NA,NA,"F","Catalogue_of_the_Vascular_Plants_of_Ecuador",NA,NA,NA,"Cereus","F"
"Alangium_uniloculare","Alangium_uniloculare","Cornaceae","Cornales",0.010386891,10,"F",NA,NA,NA,NA,NA,NA,NA,NA,"F","TRY",NA,NA,NA,"Alangium","F"
"Cornus_alba","Cornus_alba","Cornaceae","Cornales",0.001256637,102,"F",NA,NA,NA,NA,NA,NA,NA,NA,"F","kew",NA,NA,NA,"Cornus","F"
"Curtisia_dentata","Curtisia_dentata","Curtisiaceae","Cornales",0.002123717,45,"F",NA,NA,NA,NA,NA,NA,NA,NA,"F","TRY",NA,NA,NA,"Curtisia","F"
"Ruyschia_tremadena","Ruyschia_tremadena","Marcgraviaceae","Ericales",0.03079075,7,"C",NA,NA,NA,NA,NA,NA,NA,NA,"C","Catalogue_of_the_Vascular_Plants_of_the_Department_of_Antioquia_(Colombia)",NA,NA,NA,"Ruyschia","C"
"Maesa_montana","Maesa_montana","Primulaceae","Ericales",0.001809557,59,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maesa","C"
"Cleyera_pachyphylla","Cleyera_pachyphylla","Pentaphylacaceae","Ericales",0.001134115,207,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cleyera",NA
"Stewartia_cordifolia","Stewartia_cordifolia","Theaceae","Ericales",0.001963495,105,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stewartia",NA
"Stewartia_villosa","Stewartia_villosa","Theaceae","Ericales",0.001963495,92,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stewartia",NA
"Stewartia_rubiginosa","Stewartia_rubiginosa","Theaceae","Ericales",0.003318307,36,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stewartia",NA
"Pyrenaria_menglaensis","Pyrenaria_menglaensis","Theaceae","Ericales",0.003318307,49,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pyrenaria",NA
"Apterosperma_oblata","Apterosperma_oblata","Theaceae","Ericales",0.000706858,282,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Apterosperma",NA
"Pyrenaria_spectabilis","Pyrenaria_spectabilis","Theaceae","Ericales",0.001452201,165,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pyrenaria",NA
"Pyrenaria_microcarpa","Pyrenaria_microcarpa","Theaceae","Ericales",0.001256637,240,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pyrenaria",NA
"Camellia_semiserrata","Camellia_semiserrata","Theaceae","Ericales",0.000962113,218,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Camellia",NA
"Camellia_polyodonta","Camellia_polyodonta","Theaceae","Ericales",0.000706858,259,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Camellia",NA
"Camellia_pubipetala","Camellia_pubipetala","Theaceae","Ericales",0.000962113,224,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Camellia",NA
"Camellia_impressinervis","Camellia_impressinervis","Theaceae","Ericales",0.000706858,186,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Camellia",NA
"Actinidia_strigosa","Actinidia_strigosa","Actinidiaceae","Ericales",0.025730429,7,"C",NA,NA,NA,NA,NA,NA,NA,NA,"C","Inside_Wood",NA,NA,NA,"Actinidia","C"
"Rehderodendron_kweichowense","Rehderodendron_kweichowense","Styracaceae","Ericales",0.002642079,96,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rehderodendron",NA
"Styrax_argenteus","Styrax_argenteus","Styracaceae","Ericales",0.005951747,20.5,"F",NA,NA,NA,NA,NA,NA,NA,NA,"F","TRY",18,52,1351,"Styrax","F"
"Richea_continentis","Richea_continentis","Ericaceae","Ericales",0.000201062,401,"F",NA,NA,NA,NA,NA,NA,NA,NA,"F","Gallagher2015",0.6,252,1501,"Richea","F"
"Richea_pandanifolia","Richea_pandanifolia","Ericaceae","Ericales",0.000452389,361,"F",NA,NA,NA,NA,NA,NA,NA,NA,"F","TRY",3.7,246,686,"Richea","F"
"Craibiodendron_stellatum","Craibiodendron_stellatum","Ericaceae","Ericales",0.001885741,106,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Craibiodendron",NA
"Cantleya_corniculata","Cantleya_corniculata","Stemonuraceae","Aquifoliales",0.015393804,8,"F",NA,NA,NA,NA,NA,NA,NA,NA,"F","TRY",NA,NA,NA,"Cantleya","F"
"Quintinia_acutifolia","Quintinia_acutifolia","Paracryphiaceae","Paracryphiales",0.001116279,107,"F",NA,NA,NA,NA,NA,NA,NA,NA,"F","TRY",NA,NA,NA,"Quintinia","F"
"Eleutherococcus_cissifolius","Eleutherococcus_cissifolius","Araliaceae","Apiales",0.001963495,116,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eleutherococcus",NA
"Polyscias_maraisiana","Polyscias_maraisiana","Araliaceae","Apiales",0.001590431,21,"F",NA,NA,NA,NA,NA,NA,NA,NA,"F","kew",NA,NA,NA,"Polyscias","F"
"Corokia_collenettei","Corokia_collenettei","Argophyllaceae","Asterales",0.000855299,185,"F",NA,NA,NA,NA,NA,NA,NA,NA,"F","WatsonDallwitz2014",NA,NA,NA,"Corokia","F"
"Corokia_macrocarpa","Corokia_macrocarpa","Argophyllaceae","Asterales",0.000300116,220.5,"F",NA,NA,NA,NA,NA,NA,NA,NA,"F","WatsonDallwitz2014",NA,NA,NA,"Corokia","F"
"Cordia_alba","Cordia_alba","Boraginaceae","Boraginales",0.015393804,8,"F",NA,NA,NA,NA,NA,NA,NA,NA,"F","TRY",NA,NA,NA,"Cordia","F"
"Ehretia_microphylla","Ehretia_microphylla","Boraginaceae","Boraginales",0.009503318,25,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ehretia",NA
"Periploca_aphylla","Periploca_aphylla","Apocynaceae","Gentianales",0.001809557,20,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Periploca","C"
"Psydrax_subcordata","Psydrax_subcordata","Rubiaceae","Gentianales",0.010751315,28,"F",NA,NA,NA,NA,NA,NA,NA,NA,"F","kew",NA,NA,NA,"Psydrax","F"
"Fernelia_buxifolia","Fernelia_buxifolia","Rubiaceae","Gentianales",0.000706858,76,"F",NA,NA,NA,NA,NA,NA,NA,NA,"F","kew",NA,NA,NA,"Fernelia","F"
"Nyctanthes_arbor-tristis","Nyctanthes_arbor-tristis","Oleaceae","Lamiales",0.002375829,50,"F",NA,NA,NA,NA,NA,NA,NA,NA,"F","TRY",NA,NA,NA,"Nyctanthes","F"
"Mendoncia_gigas","Mendoncia_gigas","Acanthaceae","Lamiales",0.031415927,8,"C",NA,NA,NA,NA,NA,NA,NA,NA,"C","TRY",NA,NA,NA,"Mendoncia","C"
"Aphelandra_scabra","Aphelandra_scabra","Acanthaceae","Lamiales",0.000706858,150,"F",NA,NA,NA,NA,NA,NA,NA,NA,"F","tropicos",NA,NA,NA,"Aphelandra","F"
"Crossandra_poissonii","Crossandra_poissonii","Acanthaceae","Lamiales",0.005674502,16,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crossandra",NA
"Barleria_her","Barleria_her","Acanthaceae","Lamiales",0.000706858,170,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Barleria",NA
"Uncarina_leandrii","Uncarina_leandrii","Pedaliaceae","Lamiales",0.011309734,8,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uncarina",NA
"Schlegelia_parasitica","Schlegelia_parasitica","Schlegeliaceae","Lamiales",0.001256637,38,"C",NA,NA,NA,NA,NA,NA,NA,NA,"C","Kelly1985",NA,NA,NA,"Schlegelia","C"
"Amphilophium_crucigerum","Amphilophium_crucigerum","Bignoniaceae","Lamiales",0.011499015,62,"C",NA,NA,NA,NA,NA,NA,NA,NA,"C","TRY",NA,NA,NA,"Amphilophium","C"
"Radermachera_glandulosa","Radermachera_glandulosa","Bignoniaceae","Lamiales",0.006585171,19.5,"F",NA,NA,NA,NA,NA,NA,NA,NA,"F","TRY",NA,NA,NA,"Radermachera","F"
"Rhigozum_madagascariense","Rhigozum_madagascariense","Bignoniaceae","Lamiales",0.001256637,200,"F",NA,NA,NA,NA,NA,NA,NA,NA,"F","kew",NA,NA,NA,"Rhigozum","F"
"Markhamia_obtusifolia","Markhamia_obtusifolia","Bignoniaceae","Lamiales",0.011309734,10,"F",NA,NA,NA,NA,NA,NA,NA,NA,"F","kew",NA,NA,NA,"Markhamia","F"
"Phyllarthron_ilicifolium","Phyllarthron_ilicifolium","Bignoniaceae","Lamiales",0.003337942,28,"F",NA,NA,NA,NA,NA,NA,NA,NA,"F","kew",NA,NA,NA,"Phyllarthron","F"
"Bignonia_aequinoctialis","Bignonia_aequinoctialis","Bignoniaceae","Lamiales",0.010568318,32,"C",NA,NA,NA,NA,NA,NA,NA,NA,"C","TRY",NA,NA,NA,"Bignonia","C"
"Gmelina_arborea","Gmelina_arborea","Lamiaceae","Lamiales",0.026880252,6,"F",NA,NA,NA,NA,NA,NA,NA,NA,"F","kew",NA,NA,NA,"Gmelina","F"
